Key          None             Ctrl  Shift  Alt     Option       Ctrl + Shift  Ctrl + Alt  Ctrl + Option  Shift + Alt  Shift + Option  Ctrl + Shift + Alt  Ctrl + Shift + Option
---          ---------------  ----  -----  ------  -----------  ------------  ----------  -------------  -----------  --------------  ------------------  ---------------------
a            96               1     65     27 96   195 166      1             27 1        1              27 65        195 134         27 1                1
b            97               2     66     27 97   226 136 171  2             27 2        2              27 66        226 132 162     27 2                2
c            98               3     67     27 98   226 130 162  3             27 3        3              27 67        194 169         27 3                3
d            99               4     68     27 99   195 176      4             27 4        4              27 68        195 144         27 4                4
e            100              5     69     27 100  226 130 172  5             27 5        5              27 69        226 130 172     27 5                5
f            101              6     70     27 101  196 145      6             27 6        6              27 70        226 151 138     27 6                6
g            102              7     71     27 102  226 136 134  7             27 7        7              27 71        203 157         27 7                7
h            103              8     72     27 103  196 167      8             27 8        8              27 72        196 166         27 8                8
i            104              9     73     27 104  226 134 146  9             27 9        9              27 73        196 177         27 9                9
j            105              10    74     27 105  202 157      10            27 10       10             27 74        38              27 10               10
k            106              11    75     27 106  196 184      11            27 11       11             27 75        239 163 191     27 11               11
l            107              12    76     27 107  197 130      12            27 12       12             27 76        197 129         27 12               12
m            108              13    77     27 108  194 181      13            27 13       13             27 77        194 181         27 13               13
n            109              14    78     27 109  197 139      14            27 14       14             27 78        197 138         27 14               14
o            110              15    79     27 110  195 184      15            27 15       15             27 79        195 152         27 15               15
p            111              16    80     27 111  195 190      16            27 16       16             27 80        195 158         27 16               16
q            112              17    81     27 112  47           17            27 17       17             27 81        92              27 17               17
r            113              18    82     27 113  194 174      18            27 18       18             27 82        194 174         27 18               18
s            114              19    83     27 114  195 159      19            27 19       19             27 83        194 167         27 19               19
t            115              20    84     27 115  197 167      20            27 20       20             27 84        197 166         27 20               20
u            116              21    85     27 116  226 134 147  21            27 21       21             27 85        226 134 145     27 21               21
v            117              22    86     27 117  202 139      22            27 22       22             27 86        198 178         27 22               22
w            118              23    87     27 118  63           23            27 23       23             27 87        194 191         27 23               23
x            119              24    88     27 119  226 137 136  24            27 24       24             27 88        62              27 24               24
y            120              25    89     27 120  226 134 144  25            27 25       25             27 89        92              27 25               25
z            121              26    70     27 121  206 169      26            27 26       26             27 70        60              27 26               26
Tab          9                -     -      -       -            -             -           -              -            -               -                   -
Enter        Windows:     13  -     -      -       -            -             -           -              -            -               -                   -
             macOS/Linux: 10  -     -      -       -            -             -           -              -            -               -                   -
Escape       27               -     -      -       -            -             -           -              -            -               -                   -
Space        32               0     32     27 32   194 160      0             27 0        32             -            194 160         -                   32
Backspace    127              -     -      -       -            -             -           -              -            -               -                   -
Up Arrow     27 91 65         -     -      -       -            -             -           -              -            -               -                   -
Down Arrow   27 91 66         -     -      -       -            -             -           -              -            -               -                   -
Right Arrow  27 91 67         -     -      -       -            -             -           -              -            -               -                   -
Left Arrow   27 91 68         -     -      -       -            -             -           -              -            -               -                   -

- Remaining keyboard keys will use a sequence that start with 27 91 or 27 79.
- Remaining UTF-8 graphemes have sequences that vary with the use of modifier keys.
